ip,continent,country,region,city,isp,currency
181.65.208.173,South America,Peru,Lima,Lima District,Telefonica del Peru S.A.A.,Peruvian Nuevo Sol
98.138.219.232,North America,United States,Nebraska,Omaha,Oath Holdings Inc.,US Dollar
204.89.63.104,North America,United States,Pennsylvania,King of Prussia,"EvolveIP, LLC",US Dollar
200.27.68.60,South America,Chile,Biobío Region,Concepción,Telmex Chile Internet S.A.,Chilean Peso
200.16.89.104,South America,Argentina,Buenos Aires,Buenos Aires,"Agencia de Sistemas de Informacion, Gobierno de la Ciudad Autónoma de Buenos Aires",Argentine Peso
18.231.15.51,South America,Brazil,State of São Paulo,São Paulo,"Amazon.com, Inc.",Brazilian Real
200.58.77.90,South America,Bolivia,Cochabamba,Cochabamba,Comteco Ltda,Bolivian Boliviano
